record_id,company_name,industry,country,company_size,month,year,layoffs_count,layoff_percentage,reason_for_layoffs,ai_automation_impact,ai_replacement_risk,open_roles,hiring_trend,remote_jobs_percentage,top_hiring_role,stock_growth_percent,revenue_growth_percent,salary_budget_change,ai_adoption_level,employee_sentiment,job_security_score,market_condition
T1263,Amazon,AI,India,Startup,Apr,2026,2483,2.1,Restructuring,8.5,8.0,6515,Moderate Hiring,79.3,ML Engineer,6.5,54.3,28.9,7.0,10.0,8.4,Bull Market
T1264,Microsoft,AI,Canada,Enterprise,Apr,2026,1895,9.7,Cost Cutting,8.4,9.0,2027,Moderate Hiring,66.6,Data Scientist,-6.5,0.3,-0.2,6.5,4.3,5.8,Stable
T1265,Meta,Cloud,India,Big Tech,Sep,2025,15332,33.6,Market Slowdown,5.0,9.6,1720,Downsizing,45.6,Cloud Engineer,69.5,16.1,5.0,3.9,3.2,2.5,Recession
T1266,SAP,Social Media,Singapore,Startup,Aug,2025,6604,9.7,Overhiring Correction,11.5,9.8,3979,Moderate Hiring,65.6,Data Scientist,-32.7,-3.7,-3.8,9.8,6.7,4.3,Stable
T1267,Anthropic,Gaming,USA,Mid-size,Dec,2024,10691,9.0,Market Slowdown,10.9,7.2,1162,Moderate Hiring,89.2,Cloud Engineer,-40.2,25.1,10.8,9.4,5.1,7.3,Recession
T1268,Meta,Cybersecurity,USA,Mid-size,Aug,2026,10226,38.8,Overhiring Correction,0.9,6.6,1068,Downsizing,54.3,Frontend Developer,-1.6,23.5,-7.0,1.1,3.2,3.3,Recession
T1269,Anthropic,AI,India,Big Tech,Sep,2025,16803,22.0,Restructuring,5.2,10.0,4005,Moderate Hiring,64.1,Data Scientist,-42.7,19.7,11.6,7.7,4.0,5.3,Recession
T1270,Databricks,FinTech,India,Mid-size,Oct,2024,1874,3.0,Overhiring Correction,7.4,8.5,5604,Moderate Hiring,50.0,ML Engineer,-26.4,-21.7,-14.4,4.8,5.3,4.9,Bull Market
T1271,Google,Gaming,Canada,Big Tech,May,2024,12101,31.2,Market Slowdown,10.4,10.0,517,Downsizing,10.5,Cloud Engineer,3.7,22.2,7.2,6.5,4.2,2.9,Recession
T1272,Spotify,Cybersecurity,USA,Mid-size,Sep,2024,311,7.5,Market Slowdown,3.0,5.4,4653,Hiring Freeze,55.9,Software Engineer,-1.2,9.9,9.6,3.5,7.8,5.9,Bull Market
T1273,Meta,Social Media,India,Enterprise,Jan,2026,2040,2.1,Cost Cutting,10.6,6.4,3265,Moderate Hiring,74.1,Cloud Engineer,49.5,56.5,27.1,6.5,9.1,8.9,Bull Market
T1274,Uber,Cybersecurity,USA,Startup,Nov,2026,14309,12.7,Market Slowdown,8.1,10.0,947,Hiring Freeze,67.2,Cybersecurity Analyst,-14.3,-16.3,-2.3,7.0,4.2,3.4,Recession
T1275,Salesforce,AI,Singapore,Enterprise,Jul,2026,8377,37.3,Market Slowdown,7.6,10.0,8519,Hiring Freeze,38.5,ML Engineer,28.7,11.8,5.2,4.8,3.9,2.4,Recession
T1276,Salesforce,AI,Singapore,Startup,Dec,2025,4406,11.6,Cost Cutting,9.6,8.3,1153,Hiring Freeze,64.4,ML Engineer,-44.8,54.4,17.9,7.0,6.5,6.3,Stable
T1277,Spotify,AI,Canada,Startup,Nov,2025,2495,10.2,Overhiring Correction,2.6,4.4,5158,Hiring Freeze,42.4,Data Scientist,27.0,-16.7,-1.9,4.0,5.9,6.0,Recession
T1278,Palantir,Cloud,Germany,Mid-size,Apr,2026,2623,11.7,Restructuring,7.9,7.0,3239,Moderate Hiring,76.6,Cloud Engineer,-25.6,27.9,1.7,4.8,7.7,6.0,Stable
T1279,Apple,E-Commerce,India,Big Tech,Aug,2024,1441,11.4,Restructuring,2.2,3.6,2230,Hiring Freeze,77.3,ML Engineer,30.9,-18.4,-0.7,2.2,5.9,6.4,Stable
T1280,Netflix,E-Commerce,India,Mid-size,Dec,2024,1063,6.1,Market Slowdown,6.4,8.1,1982,Moderate Hiring,19.4,DevOps Engineer,30.2,19.7,3.4,4.6,5.7,5.8,Bull Market
T1281,Google,FinTech,India,Mid-size,Feb,2024,1734,11.3,AI Automation,2.8,9.4,2750,Hiring Freeze,24.5,Product Manager,12.6,3.5,1.6,4.6,7.3,4.1,Stable
T1282,Oracle,Cloud,Germany,Big Tech,Dec,2024,1631,3.8,Overhiring Correction,11.0,10.0,5073,Aggressive Hiring,40.9,ML Engineer,-21.1,-0.2,4.7,9.7,6.0,5.5,Bull Market
T1283,Microsoft,E-Commerce,Germany,Startup,Nov,2024,2306,8.4,Cost Cutting,6.7,4.7,4855,Moderate Hiring,51.3,Software Engineer,-28.7,-6.2,-4.7,5.4,5.6,5.8,Bull Market
T1284,Airbnb,Gaming,USA,Enterprise,Jan,2024,2173,4.9,Overhiring Correction,9.0,8.5,3119,Moderate Hiring,53.8,Software Engineer,64.3,-4.3,8.5,8.1,6.7,5.9,Bull Market
T1285,Salesforce,Gaming,Singapore,Startup,Aug,2026,2399,8.2,Restructuring,6.6,9.3,835,Hiring Freeze,15.0,ML Engineer,67.0,-19.9,-12.6,8.9,6.9,3.7,Bull Market
T1286,Netflix,FinTech,UK,Big Tech,Jan,2026,2404,6.0,Market Slowdown,5.1,4.8,5381,Moderate Hiring,53.5,Product Manager,-25.2,34.4,6.6,3.5,5.6,7.7,Bull Market
T1287,Palantir,AI,USA,Startup,Feb,2026,609,5.0,Restructuring,3.1,2.3,6479,Moderate Hiring,38.2,Data Scientist,-19.3,4.6,5.7,2.1,5.6,6.7,Bull Market
T1288,Apple,AI,India,Startup,Jul,2024,2020,2.6,Market Slowdown,6.3,5.4,7754,Aggressive Hiring,65.6,Data Scientist,47.8,25.7,10.7,7.7,7.3,7.6,Bull Market
T1289,Adobe,Cloud,Singapore,Big Tech,Aug,2024,12622,31.1,AI Automation,7.1,8.8,1463,Downsizing,32.4,Data Scientist,63.7,29.2,6.4,5.4,4.3,4.8,Recession
T1290,Airbnb,AI,UK,Enterprise,Feb,2025,1946,0.8,AI Automation,1.8,1.0,1955,Moderate Hiring,39.5,Data Scientist,-29.5,46.0,22.3,2.7,7.7,8.3,Bull Market
T1291,Meta,Cybersecurity,India,Mid-size,Oct,2024,1301,5.1,Restructuring,2.5,2.2,5361,Moderate Hiring,21.6,Cybersecurity Analyst,-15.5,42.8,10.3,1.8,8.8,8.0,Stable
T1292,Apple,Social Media,Singapore,Enterprise,Jun,2024,16745,36.1,Market Slowdown,9.1,10.0,1203,Downsizing,45.0,Cloud Engineer,-15.3,25.6,12.0,6.2,4.7,3.5,Recession
T1293,OpenAI,Social Media,UK,Enterprise,Jan,2024,6820,12.6,Cost Cutting,9.3,8.3,825,Hiring Freeze,37.9,Data Scientist,-13.9,-18.5,0.2,5.9,5.6,4.3,Recession
T1294,Salesforce,Cloud,Germany,Big Tech,Feb,2024,9027,37.5,Overhiring Correction,4.6,10.0,274,Downsizing,35.4,DevOps Engineer,-26.7,35.1,-2.9,5.8,6.1,3.4,Recession
T1295,Oracle,Social Media,UK,Mid-size,Mar,2024,1242,0.8,Restructuring,4.0,3.8,5445,Moderate Hiring,86.6,Cybersecurity Analyst,46.0,45.0,19.1,3.5,8.2,8.1,Bull Market
T1296,Intel,FinTech,Germany,Big Tech,Oct,2026,1843,9.7,Market Slowdown,7.6,10.0,1924,Hiring Freeze,52.3,Frontend Developer,62.5,21.1,18.3,8.0,5.6,6.6,Stable
T1297,Apple,Gaming,Singapore,Mid-size,Sep,2025,1581,3.5,Overhiring Correction,3.2,3.1,923,Hiring Freeze,66.9,Frontend Developer,84.8,2.7,11.6,3.7,5.6,6.3,Stable
T1298,Palantir,E-Commerce,Canada,Mid-size,Oct,2026,4019,7.6,Restructuring,3.7,2.9,2965,Hiring Freeze,65.2,Data Scientist,34.8,50.8,23.9,3.8,6.5,8.9,Stable
T1299,Anthropic,Cybersecurity,Singapore,Mid-size,Apr,2025,1997,37.7,AI Automation,2.3,10.0,1588,Downsizing,40.4,Data Scientist,34.2,29.0,2.5,3.7,6.1,3.9,Recession
T1300,Uber,Gaming,USA,Enterprise,Mar,2024,14165,13.8,AI Automation,10.8,10.0,1085,Moderate Hiring,23.8,DevOps Engineer,-26.1,9.1,-4.7,8.6,6.3,5.2,Recession
T1301,Intel,FinTech,India,Enterprise,Sep,2025,872,8.5,Cost Cutting,6.3,7.3,1781,Moderate Hiring,57.7,ML Engineer,68.2,-9.3,-0.4,9.5,6.9,6.2,Stable
T1302,Uber,Gaming,India,Startup,Feb,2026,4320,28.6,Cost Cutting,9.3,10.0,1569,Hiring Freeze,42.5,ML Engineer,48.7,55.9,14.2,9.0,5.4,5.0,Recession
T1303,NVIDIA,Social Media,USA,Big Tech,Dec,2024,4110,2.5,Overhiring Correction,2.5,1.2,632,Hiring Freeze,78.6,Software Engineer,10.6,-15.8,-8.1,2.2,7.3,7.9,Stable
T1304,Amazon,E-Commerce,Canada,Mid-size,Jun,2024,1817,0.4,AI Automation,5.0,3.6,1175,Hiring Freeze,59.4,ML Engineer,-33.1,37.0,18.4,3.3,8.7,9.1,Bull Market
T1305,Airbnb,AI,USA,Big Tech,Aug,2026,1303,9.9,Cost Cutting,10.0,6.7,3705,Hiring Freeze,12.2,ML Engineer,-35.9,37.1,15.9,8.1,6.8,6.0,Bull Market
T1306,Anthropic,Social Media,UK,Big Tech,Aug,2026,6945,11.5,AI Automation,11.8,9.1,2208,Hiring Freeze,61.3,Cybersecurity Analyst,62.3,-5.5,-8.7,7.6,7.0,5.3,Stable
T1307,Adobe,AI,India,Startup,Oct,2024,19447,34.1,Overhiring Correction,3.9,9.0,9209,Hiring Freeze,72.8,ML Engineer,54.6,13.7,6.3,2.6,5.0,3.5,Recession
T1308,Netflix,AI,Germany,Big Tech,Sep,2026,1834,32.2,Market Slowdown,4.3,10.0,3661,Hiring Freeze,55.1,Data Scientist,-30.3,-22.2,-14.2,4.3,5.6,3.1,Recession
T1309,Stripe,Cybersecurity,UK,Mid-size,May,2024,4819,12.9,Overhiring Correction,8.9,8.9,3287,Hiring Freeze,69.7,ML Engineer,17.4,29.4,9.7,5.4,6.7,4.8,Stable
T1310,NVIDIA,Cloud,Singapore,Mid-size,Apr,2025,6959,15.6,Cost Cutting,2.1,4.5,661,Hiring Freeze,18.4,Software Engineer,70.4,-18.3,-6.3,2.6,4.6,6.0,Stable
T1311,Palantir,Cybersecurity,USA,Big Tech,Nov,2026,5843,13.3,Restructuring,2.8,5.7,621,Downsizing,83.5,Cybersecurity Analyst,78.4,16.7,3.5,3.7,8.3,7.0,Stable
T1312,NVIDIA,Cloud,USA,Enterprise,Apr,2025,11000,24.9,AI Automation,8.0,10.0,1502,Hiring Freeze,74.8,Frontend Developer,73.4,7.4,0.7,6.9,6.7,3.2,Recession
T1313,Microsoft,AI,UK,Enterprise,May,2024,697,4.7,Overhiring Correction,4.7,7.1,2363,Moderate Hiring,86.0,ML Engineer,23.8,-9.5,-10.0,5.4,4.6,4.9,Bull Market
T1314,Microsoft,AI,India,Startup,Sep,2024,2121,2.1,AI Automation,11.2,7.2,8127,Aggressive Hiring,80.0,ML Engineer,-29.9,7.4,12.3,8.9,6.7,7.5,Stable
T1315,Airbnb,FinTech,USA,Startup,Jan,2024,3516,36.2,Market Slowdown,5.4,10.0,1162,Downsizing,77.1,DevOps Engineer,13.7,0.1,-1.5,7.6,5.6,1.9,Recession
T1316,Amazon,FinTech,USA,Enterprise,Sep,2024,2387,6.2,Market Slowdown,1.5,4.8,5806,Moderate Hiring,51.1,Frontend Developer,41.6,-10.0,-11.7,1.9,5.9,5.3,Stable
T1317,NVIDIA,Social Media,UK,Mid-size,Jun,2025,12624,29.1,Overhiring Correction,8.4,10.0,85,Hiring Freeze,74.2,Data Scientist,61.4,34.2,2.7,7.8,3.9,4.9,Recession
T1318,Microsoft,Cybersecurity,India,Startup,Aug,2026,16405,16.4,AI Automation,7.0,10.0,1645,Hiring Freeze,78.5,Frontend Developer,-4.4,16.1,4.4,9.5,5.7,5.1,Recession
T1319,Adobe,Cloud,India,Big Tech,Dec,2024,2386,3.5,Cost Cutting,1.4,1.0,3661,Hiring Freeze,86.1,Data Scientist,78.6,-3.0,-9.6,1.1,6.4,7.6,Bull Market
T1320,Apple,Gaming,Singapore,Mid-size,Aug,2024,11640,31.0,Market Slowdown,4.7,7.2,1086,Downsizing,52.4,Cybersecurity Analyst,2.3,59.5,17.3,3.1,7.6,5.7,Recession
T1321,Adobe,FinTech,Canada,Big Tech,Apr,2024,2090,2.4,Overhiring Correction,7.9,10.0,860,Hiring Freeze,87.7,Frontend Developer,-21.4,-10.8,1.0,8.7,8.2,4.9,Bull Market
T1322,Databricks,AI,India,Big Tech,Mar,2025,1193,6.3,Overhiring Correction,4.4,7.8,5685,Moderate Hiring,66.6,ML Engineer,-8.9,49.7,14.2,6.0,6.2,6.8,Bull Market
T1323,Amazon,E-Commerce,USA,Big Tech,May,2024,4099,1.5,AI Automation,7.1,9.0,5488,Moderate Hiring,75.4,ML Engineer,46.4,11.6,-0.3,6.5,8.1,5.8,Stable
T1324,Spotify,Cybersecurity,UK,Enterprise,Mar,2026,1419,6.5,Restructuring,2.2,1.1,2901,Hiring Freeze,44.3,Data Scientist,-37.8,11.5,9.7,2.6,7.7,8.2,Bull Market
T1325,Spotify,E-Commerce,UK,Big Tech,Feb,2026,17769,39.9,Restructuring,1.7,6.7,721,Downsizing,38.3,ML Engineer,68.7,38.4,13.8,1.1,5.4,3.7,Recession
T1326,Meta,FinTech,UK,Big Tech,Aug,2025,1699,10.2,Overhiring Correction,1.4,2.2,1782,Hiring Freeze,61.0,ML Engineer,89.8,-9.5,-2.1,1.8,7.4,6.4,Stable
T1327,Databricks,FinTech,UK,Startup,Sep,2025,9681,21.0,Market Slowdown,4.4,10.0,1431,Downsizing,10.6,Frontend Developer,-19.0,13.8,-7.0,6.8,4.4,4.9,Recession
T1328,Meta,Cybersecurity,Singapore,Startup,Dec,2026,18333,23.4,AI Automation,10.4,10.0,247,Hiring Freeze,83.2,Product Manager,-1.2,-17.6,-7.8,7.9,3.6,3.2,Recession
T1329,Apple,Gaming,USA,Enterprise,Oct,2025,2962,12.6,AI Automation,6.8,10.0,5649,Moderate Hiring,57.0,ML Engineer,51.7,50.0,12.7,9.5,6.8,6.0,Stable
T1330,Airbnb,E-Commerce,Germany,Startup,Aug,2026,4061,10.8,Overhiring Correction,10.2,6.4,3451,Hiring Freeze,83.7,DevOps Engineer,-16.5,6.5,10.1,9.2,5.4,6.6,Stable
T1331,SAP,AI,USA,Mid-size,Jul,2025,3152,35.3,Cost Cutting,2.2,7.5,8760,Hiring Freeze,23.3,ML Engineer,8.4,47.6,14.3,1.5,5.7,4.5,Recession
T1332,NVIDIA,FinTech,USA,Enterprise,Apr,2026,1963,2.0,Restructuring,3.0,4.0,421,Hiring Freeze,80.3,DevOps Engineer,5.2,27.5,13.0,2.2,7.2,7.4,Stable
T1333,Microsoft,FinTech,Germany,Startup,Aug,2024,17090,12.3,Cost Cutting,7.8,8.9,1269,Hiring Freeze,39.5,ML Engineer,57.0,2.5,8.4,4.7,4.4,6.0,Recession
T1334,Salesforce,Cybersecurity,USA,Big Tech,Jul,2025,1983,5.4,Cost Cutting,4.7,5.0,5265,Moderate Hiring,13.8,Cybersecurity Analyst,-36.3,37.4,15.7,3.2,6.5,7.7,Bull Market
T1335,Meta,Cloud,USA,Big Tech,Nov,2024,5468,4.1,AI Automation,1.7,3.0,4996,Moderate Hiring,24.9,Cloud Engineer,19.7,13.6,12.5,2.6,7.9,6.5,Stable
T1336,Apple,AI,UK,Big Tech,Dec,2025,2063,3.7,Restructuring,5.1,6.1,5444,Moderate Hiring,68.1,Data Scientist,65.9,29.9,10.7,3.7,7.5,7.7,Bull Market
T1337,Anthropic,Cloud,Singapore,Enterprise,Feb,2025,391,9.7,Market Slowdown,8.8,7.2,3461,Moderate Hiring,60.4,Software Engineer,27.5,-23.0,-12.6,8.9,4.8,5.9,Bull Market
T1338,Adobe,Cloud,India,Enterprise,Aug,2026,4462,2.1,Cost Cutting,4.2,4.1,4132,Moderate Hiring,88.3,DevOps Engineer,80.8,46.0,21.2,3.7,8.9,8.6,Stable
T1339,Oracle,FinTech,Singapore,Big Tech,Feb,2026,1255,7.0,Overhiring Correction,6.1,10.0,3397,Moderate Hiring,78.8,Product Manager,29.6,-7.8,4.2,7.0,5.6,6.0,Bull Market
T1340,Databricks,Cloud,UK,Enterprise,Aug,2024,761,6.7,Restructuring,15.2,5.8,3133,Moderate Hiring,82.9,ML Engineer,19.9,-15.9,3.4,9.9,7.0,4.8,Bull Market
T1341,Salesforce,AI,Singapore,Big Tech,Aug,2024,2541,3.3,Restructuring,2.5,1.6,7909,Aggressive Hiring,56.8,ML Engineer,-17.6,31.7,16.1,2.9,9.3,9.0,Stable
T1342,Stripe,AI,USA,Mid-size,Jul,2026,15605,36.8,Overhiring Correction,7.0,10.0,5545,Hiring Freeze,14.5,ML Engineer,-0.7,14.8,3.2,9.4,6.1,3.4,Recession
T1343,Netflix,Cybersecurity,Germany,Mid-size,Apr,2026,550,6.9,Overhiring Correction,7.4,7.1,447,Hiring Freeze,41.0,Product Manager,88.4,58.6,22.6,5.1,8.1,7.3,Stable
T1344,Google,FinTech,UK,Startup,Sep,2024,3712,2.3,Restructuring,4.7,1.1,5123,Moderate Hiring,74.8,Cloud Engineer,23.3,38.8,10.6,3.8,6.1,9.4,Stable
T1345,SAP,E-Commerce,Germany,Enterprise,Sep,2025,6177,9.8,AI Automation,1.9,3.0,2701,Hiring Freeze,78.7,Frontend Developer,-34.4,24.5,10.8,2.2,5.0,8.1,Stable
T1346,Netflix,E-Commerce,Germany,Enterprise,Sep,2025,280,1.9,Restructuring,6.0,6.9,2792,Moderate Hiring,44.6,ML Engineer,23.1,6.2,9.2,4.7,8.5,7.4,Bull Market
T1347,Adobe,Gaming,Singapore,Big Tech,Dec,2026,16533,17.9,AI Automation,4.2,4.2,590,Hiring Freeze,53.2,Cloud Engineer,-1.9,-13.3,-18.8,3.0,5.0,5.8,Recession
T1348,Amazon,Gaming,USA,Startup,Oct,2025,15821,18.2,AI Automation,4.0,6.2,1995,Hiring Freeze,66.1,Software Engineer,56.6,38.0,2.4,3.7,7.4,6.4,Recession
T1349,OpenAI,Social Media,Canada,Startup,Sep,2026,6196,26.2,AI Automation,8.0,10.0,930,Hiring Freeze,44.6,DevOps Engineer,31.6,11.5,8.0,9.7,6.4,4.2,Recession
T1350,Adobe,Gaming,Germany,Mid-size,Sep,2025,2321,9.2,AI Automation,1.1,5.3,663,Downsizing,51.1,DevOps Engineer,31.3,12.3,-4.4,1.7,6.5,5.7,Bull Market
T1351,Uber,Gaming,Germany,Startup,Jul,2026,1362,10.8,Restructuring,9.2,10.0,4659,Moderate Hiring,87.6,DevOps Engineer,-29.9,14.0,9.3,7.6,6.0,4.7,Stable
T1352,Google,FinTech,India,Enterprise,May,2025,5952,13.3,Cost Cutting,10.1,10.0,1067,Hiring Freeze,14.3,Cloud Engineer,48.0,2.7,3.6,8.4,4.2,3.9,Stable
T1353,Google,E-Commerce,USA,Startup,Jun,2026,240,5.8,Overhiring Correction,7.5,5.1,5986,Aggressive Hiring,48.9,ML Engineer,59.5,41.7,13.2,7.3,6.6,7.8,Bull Market
T1354,Salesforce,FinTech,India,Big Tech,Apr,2026,150,6.9,Restructuring,6.9,3.8,5716,Aggressive Hiring,38.3,Frontend Developer,14.7,-9.1,3.7,7.7,7.9,6.9,Bull Market
T1355,Meta,Gaming,Canada,Big Tech,Dec,2024,263,5.6,Restructuring,5.6,5.3,1547,Moderate Hiring,67.8,Frontend Developer,-7.6,33.1,22.7,7.7,7.5,7.2,Bull Market
T1356,Salesforce,Cybersecurity,India,Big Tech,Dec,2024,198,9.9,Overhiring Correction,8.0,6.9,1460,Moderate Hiring,73.0,Data Scientist,24.4,-17.4,-3.3,7.5,4.3,4.9,Bull Market
T1357,Microsoft,Social Media,Canada,Big Tech,Sep,2024,11485,15.0,Market Slowdown,4.5,10.0,1244,Hiring Freeze,13.4,Cloud Engineer,83.6,-2.6,-10.4,6.7,5.6,5.1,Recession
T1358,Uber,AI,USA,Startup,Nov,2026,5808,15.0,Cost Cutting,7.4,5.5,1260,Hiring Freeze,46.1,ML Engineer,17.2,45.9,20.0,6.0,5.4,7.7,Stable
T1359,Google,Cybersecurity,Singapore,Startup,Jan,2026,3706,25.6,Cost Cutting,3.4,6.9,1019,Downsizing,43.6,Frontend Developer,23.0,36.8,7.8,2.3,5.2,4.9,Recession
T1360,SAP,Social Media,Singapore,Enterprise,Nov,2024,987,9.3,Market Slowdown,12.8,8.7,2788,Moderate Hiring,29.0,Product Manager,60.3,-4.7,-5.2,8.7,5.3,5.4,Bull Market
T1361,Uber,Cybersecurity,India,Big Tech,May,2024,3847,6.3,Cost Cutting,3.3,3.6,1517,Hiring Freeze,44.6,Software Engineer,84.6,40.3,9.6,2.5,7.2,7.9,Stable
T1362,Google,Social Media,Canada,Startup,Oct,2024,1623,8.1,AI Automation,6.4,9.4,2069,Moderate Hiring,34.0,DevOps Engineer,45.9,12.1,0.8,6.5,5.0,5.3,Bull Market
T1363,Apple,FinTech,UK,Mid-size,Aug,2025,5,6.5,Cost Cutting,8.4,3.7,5192,Moderate Hiring,11.0,Data Scientist,3.5,-16.1,-9.4,5.1,4.7,7.0,Bull Market
T1364,NVIDIA,AI,Germany,Startup,Aug,2026,6877,3.6,AI Automation,2.6,5.5,8595,Aggressive Hiring,26.6,ML Engineer,67.2,25.1,14.2,3.9,8.1,6.4,Stable
T1365,Uber,Social Media,Germany,Big Tech,Mar,2024,5401,12.2,Market Slowdown,3.7,2.8,4139,Moderate Hiring,11.1,DevOps Engineer,53.8,-11.0,2.6,3.0,4.6,5.8,Stable
T1366,Google,Cloud,Singapore,Startup,Jun,2025,1490,2.6,Overhiring Correction,1.9,3.2,5039,Moderate Hiring,73.8,Cybersecurity Analyst,88.1,25.1,1.4,2.0,5.7,8.6,Bull Market
T1367,Databricks,Cybersecurity,USA,Mid-size,Feb,2024,17531,10.6,Overhiring Correction,13.3,9.8,1802,Moderate Hiring,88.7,Cloud Engineer,77.8,-6.5,5.1,8.6,6.8,5.7,Recession
T1368,Google,Cybersecurity,USA,Mid-size,Feb,2024,1013,6.2,AI Automation,9.6,7.4,1508,Hiring Freeze,44.7,Cybersecurity Analyst,53.1,3.6,8.5,6.1,5.3,6.1,Bull Market
T1369,Salesforce,Cloud,India,Startup,May,2025,14806,8.3,Restructuring,5.6,7.7,364,Hiring Freeze,31.6,ML Engineer,-20.2,32.3,21.5,5.6,6.6,7.4,Recession
T1370,Uber,AI,UK,Enterprise,Jul,2026,1168,4.3,Restructuring,6.0,4.7,8300,Aggressive Hiring,73.7,Data Scientist,-34.3,55.8,27.8,5.5,10.0,8.0,Stable
T1371,Uber,FinTech,India,Mid-size,Jul,2024,14291,20.2,Overhiring Correction,12.0,8.8,1926,Hiring Freeze,55.5,Cloud Engineer,5.3,-4.4,-3.9,7.2,6.6,4.0,Recession
T1372,Stripe,FinTech,India,Mid-size,Jul,2025,6025,12.9,Restructuring,8.2,7.3,101,Hiring Freeze,56.1,DevOps Engineer,88.7,50.0,23.6,4.9,7.6,6.7,Recession
T1373,Databricks,Social Media,UK,Enterprise,Oct,2025,3092,32.8,Restructuring,3.0,8.9,318,Downsizing,31.0,Data Scientist,26.0,-19.5,-18.3,2.7,4.5,3.3,Recession
T1374,Uber,Cybersecurity,UK,Enterprise,Aug,2024,14122,34.2,AI Automation,6.8,10.0,1378,Downsizing,53.9,Data Scientist,-33.1,9.9,-3.0,4.8,4.4,3.7,Recession
T1375,Anthropic,FinTech,Canada,Big Tech,Jul,2024,3551,8.2,AI Automation,15.6,8.8,3188,Moderate Hiring,37.4,Cybersecurity Analyst,-0.2,14.2,16.9,9.2,6.0,6.7,Stable
T1376,Netflix,Gaming,UK,Big Tech,Apr,2024,1641,5.8,Cost Cutting,1.9,4.8,5000,Moderate Hiring,46.5,Cybersecurity Analyst,51.2,18.4,0.4,3.1,8.7,6.6,Bull Market
T1377,Intel,FinTech,India,Enterprise,Jun,2026,822,9.6,AI Automation,8.7,9.7,2360,Moderate Hiring,85.1,Software Engineer,-38.6,-13.5,-10.7,7.6,4.8,5.2,Bull Market
T1378,Salesforce,Cloud,Germany,Enterprise,Jul,2025,661,3.6,Overhiring Correction,3.0,2.2,4134,Moderate Hiring,29.5,Data Scientist,53.0,37.9,20.3,1.8,7.9,9.0,Bull Market
T1379,Uber,Cybersecurity,India,Startup,Dec,2026,19535,36.4,AI Automation,10.0,10.0,1711,Downsizing,68.0,Cloud Engineer,49.8,33.8,6.0,8.5,3.6,3.0,Recession
T1380,Stripe,Social Media,Germany,Big Tech,Apr,2024,4357,6.0,AI Automation,5.1,3.3,4031,Moderate Hiring,67.5,Cybersecurity Analyst,56.0,-8.9,-10.3,3.9,5.2,6.2,Stable
T1381,OpenAI,E-Commerce,USA,Enterprise,Feb,2025,5542,6.5,Cost Cutting,5.7,8.2,900,Hiring Freeze,21.5,Data Scientist,33.8,34.8,13.8,8.1,7.5,6.7,Stable
T1382,Databricks,FinTech,Canada,Big Tech,May,2024,662,9.3,Overhiring Correction,1.3,2.3,4140,Moderate Hiring,42.3,Software Engineer,36.8,17.0,12.8,1.1,6.3,6.6,Bull Market
T1383,Google,E-Commerce,UK,Mid-size,Sep,2026,5216,1.8,AI Automation,7.4,5.4,3352,Moderate Hiring,18.8,Software Engineer,86.7,36.7,25.7,6.5,7.2,8.3,Stable
T1384,Salesforce,Social Media,USA,Startup,Jul,2026,3581,6.3,Market Slowdown,10.5,10.0,5734,Aggressive Hiring,76.6,Data Scientist,63.5,16.5,6.0,7.4,8.3,5.8,Stable
T1385,Spotify,FinTech,UK,Big Tech,Aug,2026,1026,2.2,AI Automation,4.8,3.6,1812,Moderate Hiring,86.5,Cybersecurity Analyst,61.3,28.0,18.9,3.2,8.7,8.1,Bull Market
T1386,NVIDIA,FinTech,Singapore,Big Tech,Jun,2026,4774,17.0,AI Automation,10.1,10.0,3191,Hiring Freeze,55.8,Data Scientist,59.9,48.2,26.8,9.7,6.3,6.1,Stable
T1387,Google,Cloud,USA,Startup,Jun,2026,2042,5.1,Restructuring,5.8,6.8,4084,Moderate Hiring,69.1,Data Scientist,77.0,-0.9,9.2,3.5,7.6,7.1,Bull Market
T1388,Airbnb,Cloud,USA,Mid-size,Sep,2024,15822,23.0,AI Automation,1.5,7.0,549,Downsizing,30.5,Cybersecurity Analyst,58.6,3.9,-14.5,1.5,5.5,3.9,Recession
T1389,Spotify,Gaming,USA,Startup,Feb,2025,2233,8.5,Market Slowdown,7.4,9.1,3858,Moderate Hiring,37.5,Cloud Engineer,85.6,14.2,13.5,7.7,7.5,6.7,Bull Market
T1390,Databricks,Gaming,Germany,Enterprise,Mar,2026,7719,39.5,Restructuring,6.8,10.0,742,Hiring Freeze,83.7,ML Engineer,62.8,58.5,21.8,8.3,3.6,3.4,Recession
T1391,Microsoft,Cloud,UK,Mid-size,Nov,2025,8556,15.0,AI Automation,1.5,6.2,101,Downsizing,68.1,Frontend Developer,83.7,-19.2,-8.7,1.3,6.3,4.6,Recession
T1392,Anthropic,Cybersecurity,India,Big Tech,May,2025,15739,31.8,Restructuring,7.3,10.0,463,Downsizing,39.1,DevOps Engineer,57.2,-20.7,-12.9,7.8,3.0,1.5,Recession
T1393,Airbnb,AI,UK,Enterprise,Jun,2026,9485,24.7,Cost Cutting,11.4,10.0,6311,Hiring Freeze,11.4,ML Engineer,13.2,3.2,5.5,7.9,6.3,3.9,Recession
